"","final_first_column_arg","final_second_column_arg"
"1","Arg Juniors","Tigre"
"2","Tigre","Arg Juniors"
"3","Independiente Rivadavia","Gimnasia–LP"
"4","Gimnasia–LP","Independiente Rivadavia"
"5","Central Cordoba","Platense"
"6","Platense","Central Cordoba"
"7","Velez Sarsfield","Talleres"
"8","Talleres","Velez Sarsfield"
"9","Defensa Justicia","Boca Juniors"
"10","Boca Juniors","Defensa Justicia"
"11","San Lorenzo","Huracan"
"12","Huracan","San Lorenzo"
"13","Rosario Central","Sarmiento"
"14","Sarmiento","Rosario Central"
"15","River Plate","Lanus"
"16","Lanus","River Plate"
"17","Belgrano","Deportivo Riestra"
"18","Deportivo Riestra","Belgrano"
"19","Barracas Central","Newells OB"
"20","Newells OB","Barracas Central"
"21","Racing Club","Godoy Cruz"
"22","Godoy Cruz","Racing Club"
"23","Banfield","Atletico Tucuman"
"24","Atletico Tucuman","Banfield"
"25","Instituto","Independiente"
"26","Independiente","Instituto"
"27","Estudiantes","Union"
"28","Union","Estudiantes"
